name,category,address,address2,city,state,ccaa,postal,country,phone,lat,lng,hours1,hours2,web,features,codsa,codat
Carrefour Almendralejo,Hipermercado,"Calle Mecánica, Manzana A, Parcela 5-12",P.I. Carretera Arroyo San Serván,Almendralejo,Badajoz,Extremadura,06200,es,657884098,38.69304407392473,-6.411811739881159,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/almendralejo.aspx,"Accesibilidad,Aparcamiento,Café bar Carrefour,Cargador gratis,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Punto de reciclaje,Revelado Kodak,Sillas portabebé,Telefonía móvil,Wifi gratis",0172,00CN
Carrefour Almería,Hipermercado,"Avenida del Mediterráneo, 244",,Almería,Almería,Andalucía,04006,es,644928180,36.841377,-2.443646,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/almeria.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Café bar Carrefour,Cajas de autopago,Cajeros automáticos,Cargador gratis,Carrefour Drive,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Lavado de coches,Pantallas surtido ampliado,Pantallas venta por catálogo,Parada de Taxis,Parafarmacia,Platos preparados,Punto de reciclaje,Revelado Kodak,Sala de lactancia Carrefour,Servicios financieros Carrefour,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Telefonía móvil,Tintoreria,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0079,004Y
Carrefour Aluche,Hipermercado,"Avenida de los Poblados, 58",,Madrid,Madrid,Comunidad de Madrid,28044,es,631270546,40.38575,-3.763397,de 08:00 a 22:00,de 08:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/aluche.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Click_Collect,Entrega a domicilio,Farmacia,Fibra y Móvil O2,Fila única,Financiación fácil,Kiosco ONCE,Kioscos Club Carrefour,Lavado de coches,Montaje de neumáticos,Oficina de Correos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parada de Taxis,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Servicios financieros Carrefour,Sillas portabebé,Taller de bicicletas,Telefonía móvil,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0029,0029
Carrefour Alzira,Hipermercado,"Avenida Dignitat Humana, 2",,Alzira,Valencia,Comunidad Valenciana,46600,es,691849421,39.164148,-0.429624,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/alzira.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cambiador de bebé,Cargador gratis,Carrefour Drive,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Montaje de neumáticos,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sillas portabebé,Taller de bicicletas,Tartas de encargo,Telefonía móvil,Transporte público,Wifi gratis",0088,004R
Carrefour Andújar,Hipermercado,"Avenida Blas Infante, 14",,Andújar,Jaén,Andalucía,23740,es,644096715,38.038045,-4.0385682,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/andujar.aspx,"Accesibilidad,Cambiador de bebé,Entrega a domicilio,Gasolinera Carrefour,Revelado Kodak,Sillas portabebé,Telefonía móvil",8001,0050
Carrefour Arcos de la Frontera,Hipermercado,Parque Comercial 'Las Tiendas de Arcos',,Arcos de la Frontera,Cádiz,Andalucía,11630,es,613533472,36.747523,-5.823386,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/arcos.aspx,"Accesibilidad,Aparcamiento,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Lavado de coches,Pantallas surtido ampliado,Pantallas venta por catálogo,Platos preparados,Punto de reciclaje,Revelado Kodak,Salas de cine,Sillas portabebé,Telefonía móvil,Wifi gratis",0127,00T2
Carrefour Augusta Zaragoza,Hipermercado,"Avenida de Navarra, 180",Centro Comercial Augusta,Zaragoza,Zaragoza,Aragón,50011,es,615309111,41.659454,-0.921123,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/augusta_zaragoza.aspx,"Accesibilidad,Aparcamiento,Café bar Carrefour,Cambiador de bebé,Cargador gratis,Carrefour Drive,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Montaje de neumáticos,Parada de Taxis,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Servicio informático,Sillas portabebé,Taller de bicicletas,Tartas de encargo,Telefonía móvil,Tintoreria,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis",0040,0040
Carrefour Ávila,Hipermercado,"Avenida Juan Carlos I, 45",,Ávila,Ávila,Castilla y León,05004,es,644866127,40.6692423,-4.6602120,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/avila.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Click_Collect,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera - otras marcas,Gasolinera Carrefour,Kiosco ONCE,Kioscos Club Carrefour,Lavado de coches,Montaje de neumáticos,Parada de Taxis,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Salas de cine,Shop_Go PASS,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Telefonía móvil,Tintoreria,Transporte público,Wifi gratis,Zona de juego infantil Carrefour",0120,007B
Carrefour Azabache,Hipermercado,"Carretera N-630, km. 451",,Lugones,Asturias,Principado de Asturias,33420,es,602569076,43.4132215,-5.7956328,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/azabache.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Lavado de coches,Montaje de neumáticos,Pantallas venta por catálogo,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Sillas portabebé,Taller de bicicletas,Tartas de encargo,Telefonía móvil,Tintoreria,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0063,005E
Carrefour Badalona,Hipermercado,"Avenida Comunidad Europea, s/n",,Badalona,Barcelona,Cataluña / Catalunya,08917,es,615308764,41.456892,2.228318,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/badalona.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Café bar Carrefour,Cajas de autopago,Cambiador de bebé,Cargador gratis,Carrefour Drive,Click_Collect,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Montaje de neumáticos,Oficina de Correos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parada de Taxis,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sillas portabebé,Sushi Carrefour,Tartas de encargo,Telefonía móvil,Tintoreria,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis",0021,0021
Carrefour Baena,Hipermercado,"Carretera A-305, km. 60",,Baena,Córdoba,Andalucía,14850,es,657884237,37.62166730773633,-4.308342495770262,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/baena.aspx,"Accesibilidad,Aparcamiento,Cargador gratis,Carrefour Drive,Click_Collect,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Lavado de coches,Pantallas venta por catálogo,Punto de reciclaje,Revelado Kodak,Sillas portabebé,Telefonía móvil,Wifi gratis",0171,00FB
Carrefour Bahía,Hipermercado,"Calle Caño Herrera, s/n",Parque Comercial Bahía Sur,San Fernando,Cádiz,Andalucía,11100,es,602552419,36.471425,-6.208485,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/bahia_-_san_fernando.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Click_Collect,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Montaje de neumáticos,Oficina de Correos,Parada de Taxis,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Servicio informático,Servicios financieros Carrefour,Taller de bicicletas,Telefonía móvil,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis",0091,004Z
Carrefour Barberá,Hipermercado,"Carretera Barcelona, km. 6,7",Centro Comercial Baricentro,Barberá del Vallés,Barcelona,Cataluña / Catalunya,08210,es,605507062,41.5080212,2.1390608,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/barbera.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajas de autopago,Cajeros automáticos,Cargador gratis,Carrefour Drive,Click_Collect,Entrega a domicilio,Estanco,Fila única,Financiación fácil,Gasolinera - otras marcas,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Montaje de neumáticos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Salas de cine,Servicios financieros Carrefour,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Tartas de encargo,Telefonía móvil,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis",0003,0003
Carrefour Benidorm Finestrat,Hipermercado,"Carretera Nueva de Finestrat a La Cala, km. 5",,Finestrat,Alicante,Comunidad Valenciana,03509,es,615061925,38.5368344,-0.1762073,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/benidorm_finestrat.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Café bar Carrefour,Cajas de autopago,Cajeros automáticos,Cargador gratis,Carrefour Drive,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Lavado de coches,Montaje de neumáticos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parada de Taxis,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Servicios financieros Carrefour,Sushi Carrefour,Taller de bicicletas,Telefonía móvil,Tintoreria,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0017,0017
Carrefour Burgos,Hipermercado,"Avenida Cantabria, 111",,Burgos,Burgos,Castilla y León,09006,es,653714629,42.36017631933285,-3.6954633962951675,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/burgos.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Café bar Carrefour,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Click_Collect,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera - otras marcas,Gasolinera Carrefour,Kiosco ONCE,Kioscos Club Carrefour,Montaje de neumáticos,Parada de Taxis,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Salas de cine,Servicio informático,Shop_Go PASS,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Telefonía móvil,Transporte público,Wifi gratis",0047,0047
Carrefour Cabrera,Hipermercado,"Carretera Nacional II, km. 644",,Cabrera de Mar,Barcelona,Cataluña / Catalunya,08349,es,685794092,41.519581,2.421895,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/cabrera.aspx,"Accesibilidad,Administración de Loterías,Ahumados Carrefour,Aparcamiento,Café bar Carrefour,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Click_Collect,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Lavado de coches,Montaje de neumáticos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parada de Taxis,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Scan_go,Servicios financieros Carrefour,Sushi Carrefour,Taller de bicicletas,Tartas de encargo,Telefonía móvil,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0069,004A
Carrefour Cáceres,Hipermercado,"Avenida de las Arenas, 51",,Cáceres,Cáceres,Extremadura,10001,es,644271737,39.467608,-6.396743,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/caceres.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Café bar Carrefour,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Montaje de neumáticos,Parafarmacia,Platos preparados,Punto de reciclaje,Revelado Kodak,Sillas portabebé,Tartas de encargo,Telefonía móvil,Transporte público,Wifi gratis",0114,006G
Carrefour Camas Aljarafe,Hipermercado,"Poeta Muñoz San Román, s/n",,Camas,Sevilla,Andalucía,41900,es,602683527,37.392092,-6.031637,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/camas_aljarafe.aspx,"Accesibilidad,Administración de Loterías,Ahumados Carrefour,Aparcamiento,Café bar Carrefour,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Montaje de neumáticos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Salas de cine,Servicio informático,Servicios financieros Carrefour,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Telefonía móvil,Tintoreria,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0116,006F
Carrefour Campanar - Valencia,Hipermercado,"Avenida Manuel de Falla, 13",,Valencia,Valencia,Comunidad Valenciana,46015,es,658569585,39.4771158,-0.40477,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/campanar_-_valencia.aspx,"Accesibilidad,Administración de Loterías,Ahumados Carrefour,Aparcamiento,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Click_Collect,Consigna automática,Entrega a domicilio,Fibra y Móvil O2,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Lavado de coches,Montaje de neumáticos,Oficina de Correos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Servicios financieros Carrefour,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Telefonía móvil,Tintoreria,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0012,0012
Carrefour Cartaya,Hipermercado,Antigua Carretera Huelva-Ayamonte,Polígono Industrial La Estación,Cartaya,Huelva,Andalucía,21450,es,691336087,37.2898112,-7.1399031,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/cartaya__huelva_.aspx,"Accesibilidad,Aparcamiento,Café bar Carrefour,Cambiador de bebé,Cargador gratis,Carrefour Drive,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Montaje de neumáticos,Parafarmacia,Platos preparados,Punto de reciclaje,Revelado Kodak,Sillas portabebé,Taller de bicicletas,Telefonía móvil,Wifi gratis",0141,00CB
Carrefour Castellón,Hipermercado,"Avenida del Mar, s/n",,Castellón,Castellón,Comunidad Valenciana,12003,es,691336094,39.98394,-0.017627,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/castellon.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Servicios financieros Carrefour,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Tartas de encargo,Telefonía móvil,Transporte público,Wifi gratis",0075,004K
Carrefour Coll d´en Rabassa Palma,Hipermercado,"Calle Cardenal Rossel, 168",,Coll d´en Rabassa,Illes Balears,Islas Baleares / Illes Balears,07007,es,615062501,39.552839,2.705747,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/coll_den_rabassa_palma.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Click_Collect,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kioscos Club Carrefour,Montaje de neumáticos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parada de Taxis,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Revelado Kodak,Sala de lactancia Carrefour,Servicios financieros Carrefour,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Tartas de encargo,Telefonía móvil,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0007,0007
